DOI,来源,研究方向,论文标题,CR_摘要,CR_作者和机构,CR_参考文献DOI,OpenAlex_field_list,OpenAlex_subfield_list,OpenAlex_map_subjects,Ref_OpenAlex_topics,Ref_OpenAlex_map_subjects
10.1353/tcc.2023.a905566,TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,"""This Absolutely Is Not a Hui Rebellion!"": The Ethnopolitics of Great Nationality Chauvinism in Early Maoist China","Abstract: Through the 1950s, the Chinese Communist Party (CCP) considered nationality disunity to be a product of ""great Han chauvinism."" But what happens when history's bad guys are not Han? In parts of China's Northwest, the party identified Hui Muslim elites as the main agents of nationality exploitation and Tibetans as their principal targets. It therefore declared Tibetans of all classes to be victims of nationality exploitation and ordered that ""good"" Muslims be distinguished from ""bad,"" a task made more urgent by a string of uprisings that engulfed several Muslim-majority areas of the Qinghai-Gansu Highlands from 1949 to 1953. While echoes can be found in the late Qing state's response to Muslim rebellion, this article argues that the CCP's approach to the ""Hui question"" must be viewed as part of a particular practice of minoritization and a framework for conceptualizing the new socialist nation-state that would leave Muslims and other non-Han communities susceptible to majoritarian-state violence.","[{""name"": ""Benno Weiner"", ""affiliation"": []}]",[],['Social Sciences'],['Sociology and Political Science'],"[[('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)]]",,
10.1353/sys.2024.a946874,JOURNAL OF SONG-YUAN STUDIES,0603 World History; 0602 History of China; 0303 Sociology,"Zhedong Sea Merchants and the China-Japan Trade, ca. 800-1000 ce","Article Abstract: This article aims to highlight the achievements and activities of a network of sea merchants from the Zhedong (Zhejiang) region of China whose members were among the earliest known private traders to arrive in Japan. They were the predominant group of Chinese merchants trading in Japan from the ninth to eleventh centuries, and from approximately 850 to 1000, they were the only sea merchant group known to operate there. Not only were merchants from the Zhedong region instrumental in commercial and religious exchange between China and Japan, they were also adept at navigating through the many political upheavals of the Tang-Song transition. As such, their sudden decline at the end of the tenth century, in tandem with the rise of Fujian merchants in overseas trade, raises questions as to the nature of trade administration at this time. This article will consider the political implications of the rise and fall of merchant networks in Chinese history, as well as present new information that calls into question the idea that Japan was diplomatically isolated throughout the tenth century.","[{""name"": ""Gregory Sattler"", ""affiliation"": []}]",[],['Social Sciences'],['Anthropology'],"[[('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0303 社会学', 0.7437), ('0304 民族学', 0.7365)]]",,
10.1353/late.2024.a930391,LATE IMPERIAL CHINA,0602 History of China; 0603 World History,"Women Till and Women Weave: Rice, Cotton, and the Gendered Division of Labor in Jiangnan","Abstract: Composing roughly 40 percent of the total Chinese population, village women were the linchpin of the thriving rural economy in late imperial China. This article addresses the question of women's work by reassessing the millennia-old ""men till and women weave"" trope, which asserted that farming (or the outer sphere it represented) was improper for women. It argues that, despite being marginalized or even eroticized in male-centered narratives, many women in Jiangnan China's economic and cultural center sweated in the fields and swiftly shifted their tasks for the family or market needs. Specifically, men dominated the more lucrative, more recognizable, and, in many cases, less arduous tasks in rice cultivation, while women significantly contributed to other tasks in the rice paddies and dominated cotton farming. Such a gender division of labor was affected less by biological factors or gender norms than by a combination of the physical property of crops (especially if the crop invites animal traction), the labor market, and a constantly evolving gendered narrative. In addition to self-conscious scholarly records of the gendered labor regime, much of the research relies on an original use of 891 criminal cases in the First Historical Archives (aka xingke tiben) to approach rural work patterns and the digital humanities methods to analyze and visualize the cases that serve as random samples of the crop regimes and everyday activities of rural men and women.","[{""name"": ""You Wang"", ""affiliation"": []}]",[],['Social Sciences'],['Sociology and Political Science'],"[[('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)]]",,
10.1353/sys.2024.a946876,JOURNAL OF SONG-YUAN STUDIES,0602 History of China; 0603 World History; 0303 Sociology,The Song Rediscovery of Chang'an,"Article Abstract: As Chang'an transformed from the capital in the Tang to a much smaller provincial seat in the Song, many material and immaterial pieces of the city were forever lost; but some, because of the work of a tightly-knit group of literati-officials in the second half of the eleventh century, were eventually rediscovered, preserved, and reorganized. This article examines the intellectual agenda shared by their works aimed at rediscovering Chang'an, and argues that, instead of the monumental structures and imperial ideology of the early and high Tang, Song literati-officials were more interested in either pre-Tang objects and structures still extant in Chang'an or the literary relics in the south of the city from the post-An Lushan era.","[{""name"": ""Xin Wen"", ""affiliation"": []}]",[],['Social Sciences'],['Sociology and Political Science'],"[[('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)]]",,
10.1353/late.2023.a918496,LATE IMPERIAL CHINA,0602 History of China; 0603 World History,The Short Life of a Statutory Label: War Mobilization and Underclass Migration in Eighteenth-Century Sichuan*,"Abstract: During the Qianlong period, both Qing state documents and the local sources in Sichuan preserved increased records of ""guolu,"" a label referring to a type of crime-prone, male, underclass migrants in Sichuan. Amid active policy discussions of the guolu problem, the Qing state first added a guolu substatute to the Qing Code in 1758 and later tried to eliminate guolu as a statutory category after a large incident in 1781. This article traces the trajectory of the statutory category of guolu and analyzes how the Qing state's strategy of managing underclass migrants in Sichuan transformed during the eighteenth century. In particular, this article contextualizes the legislative and policy turns within the socioeconomic impacts of the two Jinchuan Wars (1747&lt;en&gt;1749; 1771&lt;en&gt;1776), which significantly reshaped the scale of underclass mobility in Sichuan and scholar-officials' perceptions of underclass migrants. Influenced by the labor-intensive military supply and the socioeconomic impacts of warfare, the Qing state's policies on guolu criminality and underclass mobility transformed from the exclusion of targeted groups to the accommodation of nonagrarian means of livelihood and networks. The case of guolu suggests that the eighteenth-century Qing state was also developing policies of cooption and mobilization, in addition to statutory vilification, to tackle the quickly expanding scale of underclass mobility. Through this case, this article calls attention to the military perspective as a key to understanding the interactions among underclass criminality, judicial discourse, and bureaucratic process in Qing China.","[{""name"": ""Yiying Pan"", ""affiliation"": []}]",[],"['Arts and Humanities', 'Social Sciences']","['History and Philosophy of Science', 'Sociology and Political Science']","[[('1301 艺术学', 0.685), ('0501 中国语言文学', 0.684), ('0502 外国语言文学', 0.6758), ('1405 智能科学与技术', 0.6679), ('0503 新闻传播学', 0.667)], [('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0712 科学技术史', 0.7544), ('0101 哲学', 0.7508)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)]]",,
10.1353/sys.2023.a917262,JOURNAL OF SONG-YUAN STUDIES,0602 History of China; 0603 World History; 0303 Sociology,THREE VISIONS OF THE REALM I N SOUTHERN SONG DEBATES ON THE SPATIAL ORDER OF ANTIQUITY,"Abstract: This article traces the Southern Song discourse on the size and the basic organizational principles of the realm under the ancient sage kings. It shows how scholars reconciled different spatial concepts outlined in the Confucian Classics, and how they interpreted the various specifications of size, of spatial hierarchies, and of borders. We can distinguish three visions of the realm in their writings: a confined realm of comparatively small expanse with a clear distinction between inside and outside; a mutable realm that was spatially and organizationally flexible; and an unlimited realm that incorporated distant territories into a harmonious order.","[{""name"": ""Martin Hofmann"", ""affiliation"": []}]",[],['Social Sciences'],"['Political Science and International Relations', 'Sociology and Political Science', 'Cultural Studies']","[[('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0302 政治学', 0.7764), ('1204 公共管理学', 0.7587)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)], [('0502 外国语言文学', 0.7548), ('0501 中国语言文学', 0.7513)]]",,
10.24112/ijccpm.212655,INTERNATIONAL JOURNAL OF CHINESE & COMPARATIVE PHILOSOPHY OF MEDICINE,0602 History of China; 0712 History of Science and Technology,Revisiting the Cognitive and Ethical Value of Plague Theories in Traditional Chinese Medicine for Contemporary Epidemic Prevention and Risk Control,"LANGUAGE NOTE | Document text in Chinese; abstract also in English.&#x0D; 在對中國古代瘟疫理論和公共衛生的研究中，往往認為傳統中醫學的傳染觀念和瘟疫理論不夠＂科學”和＂精准”，在公共衛生和社會防疫等中觀維度上無法發揮積極作用。但中醫學瘟疫理論，將疫情描述為彌漫性環境風險與人類活動相互作用的動態圖景，不僅具有在特定社會歷史環境和時人認知觀念背景下的時代合理性，相較於現代傳染病學＂傳染鏈”的線性分析模型，對當今疫情也能夠給出一個更具整體性的風險認知模型，具有不可替代的價值。更重要的是，古典瘟疫理論有助於打破傳染鏈交織迭加成群體流行的線性思維所帶來的道德難題，為促成全人類肩並肩面對風險、共同承擔責任與持續性協同抗疫的價值目標，提供一個基於中國文化傳統的論證依據。&#x0D; In the study of concepts developed in the context of public health management in ancient China, the notion of infectiousness and plague theories in TCM (Traditional Chinese Medicine) are often perceived to have little significance to epidemic prevention and public health today because they are viewed as “unscientific.” This paper, however, argues that the doctrine of yinqi (the epidemic qi) and the concept of infectiousness in TCM present a dynamic interaction between diffuse environmental risks and human activities in a specific spatio-temporal context. The concept of epidemic qi offers a unique cognitive model with which to approach the epidemic risk in a given socio-historical environment that differs from a linear analysis of the “chain of infection” in modern medicine. The paper concludes that the plague theories reflected in TCM are relevant to the contemporary understanding of risk control during a public health crisis.","[{""name"": ""國斌 程"", ""affiliation"": []}]",[],"['Biochemistry, Genetics and Molecular Biology', 'Medicine']","['Genetics', 'Complementary and alternative medicine']","[[('0710 生物学', 0.7285), ('0811 控制科学与工程', 0.7264), ('0836 生物工程', 0.7242), ('1001 基础医学', 0.717), ('0832 食品科学与工程', 0.7157)], [('1002 临床医学', 0.7333), ('1007 药学', 0.7307), ('1001 基础医学', 0.7301), ('1008 中药学', 0.7257), ('1005 中医学', 0.7236)], [('0710 生物学', 0.733), ('0905 畜牧学', 0.7315)], [('1009 特种医学', 0.7239), ('1004 公共卫生与预防医学', 0.7184)]]",,
10.1353/late.2024.a948073,LATE IMPERIAL CHINA,0603 World History; 0602 History of China,Xenophobia Among Han Chinese Elites in the High Qing,"Abstract: This article examines how Han Chinese elites reacted to foreign influences in the eighteenth century. As domestic politics shifted, anti-foreign sentiments increased, with Han literati expressing intertwined resentments toward Christianity, Tibetan Buddhism, and Manchu rule. These issues were often entangled and carefully discussed under Qing censorship. While initially subtle, these anti-foreign feelings surfaced in works like the novel Yesou puyan , reflecting growing dissatisfaction with foreign elements and foreshadowing the rise of anti-Manchu sentiments near the end of the Qing dynasty.","[{""name"": ""Wonmook Kang"", ""affiliation"": []}]",[],['Social Sciences'],['Sociology and Political Science'],"[[('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)]]",,
10.1353/tcc.2024.a917209,TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,"Writing the People's Science: One Hundred Thousand Whys and the Politics of Science Popularization in China, 1931-1975","Abstract: This article focuses on One Hundred Thousand Whys ( Shiwan ge weishenme ), modern China's single most popular book series for science dissemination. A translation of a 1929 work from the Soviet Union, it took on new life throughout China's eventful twentieth century. Challenging the prevalent understanding that antisuperstition was the most important goal of science dissemination in Mao-era China, I illustrate how science dissemination in the 1960s aimed to spark readers' interest in natural sciences and prepare them to contribute to national construction. I argue that, during the Cultural Revolution, when political propaganda was bluntly integrated into science dissemination materials, these materials remained consistent with previous editions and continued to serve as reliable references for readers seeking scientific knowledge.","[{""name"": ""Yinyin Xue"", ""affiliation"": []}]",[],"['Arts and Humanities', 'Social Sciences']","['History and Philosophy of Science', 'Sociology and Political Science']","[[('1301 艺术学', 0.685), ('0501 中国语言文学', 0.684), ('0502 外国语言文学', 0.6758), ('1405 智能科学与技术', 0.6679), ('0503 新闻传播学', 0.667)], [('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0712 科学技术史', 0.7544), ('0101 哲学', 0.7508)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)]]",,
10.1353/sys.2024.a946877,JOURNAL OF SONG-YUAN STUDIES,0603 World History; 0602 History of China; 0303 Sociology,Utopia Discovered: The Construction of Accessible Grotto - heaven Landscapes in Song Literature,"Article Abstract: The Song dynasty witnessed a significant shift in the literary representation of grotto-heavens—the sacred caves initially worshipped in religious Daoism that symbolized enlightenment and abundance. Prior to the Song dynasty, the poetic depiction of grotto-heavens had largely remained a marginal trope, with the few poems extant on this topic portraying the cavern spaces as alien and forbidden. However, Song literati displayed a newfound interest in celebrating grotto-heavens through their poetry. Using a poetry collection dedicated to the Grand Cleanse Grotto-heaven as a representative case, this article demonstrates that Song poets reimagined the enigmatic Daoist grottos as landscapes accessible to secular literati. Their literary reimagination of grotto-heavens as accessible places illuminates literati attempts to expand their knowledge by drawing inspiration from Daoist treatises, the legacies of earlier literary paragons, and their personal experiences visiting grotto-heaven landscapes.","[{""name"": ""Li Wanmeng"", ""affiliation"": []}]",[],['Social Sciences'],['Sociology and Political Science'],"[[('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)]]",,
10.1353/sys.2023.a917263,JOURNAL OF SONG-YUAN STUDIES,0603 World History; 0602 History of China; 0303 Sociology,Tracing the Image of the Stringless 'Qin' in Buddhist and Literati Writings in the Song Dynasty (960-1279),"Abstract: This article delves into the religious, philosophical, and poetic connotations of the stringless qin during the Song dynasty, particularly its significance in Chan Buddhism and literati culture. For Chan monks, it analogously represented the transmission of unspoken teachings and the urgency of transcending intellection and language. Simultaneously, Song literati wove the stringless qin into diverse narratives, reflecting both their philosophical explorations and Tao Qian’s influence. By tracing its historical trajectory both within and outside the soteriological context, the study sheds light on the dynamic interactions and shared influences between literati and Buddhist monks.","[{""name"": ""Meimei Zhang"", ""affiliation"": []}]",[],['Social Sciences'],['Sociology and Political Science'],"[[('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)]]",,
10.1353/tcc.2024.a917211,TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,"Thought Reform in Daily Life: Revolutionary Ideology and the Self of a Chinese College Student, 1951-1953","Abstract: This article reexamines China's Thought Reform campaign in higher education through a college student's daily experience. Unlike previous research, which has examined the ideological effects of the Chinese Communist Party (CCP) on faculty members, we focus on college students' thoughts, emotions, and behavior before, during, and after the Thought Reform campaign. On the basis of in-depth analysis of personal diaries and official archives, this article examines how a college student understood, accepted, and practiced revolutionary values and the conflicts that occurred during these practices. We argue that students selectively practiced revolutionary values following personal motivations, mainly focusing on the specific values that matched their daily concerns and interests. We also argue that, although the Thought Reform campaign consolidated the CCP's power in colleges and universities, it had little effect on individuals' desires to pursue personal interests and happiness in their daily lives.","[{""name"": ""Haolan Zheng"", ""affiliation"": []}, {""name"": ""Letian Zhang"", ""affiliation"": []}]",[],['Social Sciences'],['Sociology and Political Science'],"[[('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)]]",,
10.1353/tcc.2024.a925425,TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,The Relief Campaign for the 1954 Yangzi River Flood and Rural Collectivization in Early Communist China,"Abstract: In 1954, a devastating flood struck the entire Yangzi River basin, causing the first major natural disaster in the newly established People’s Republic of China (PRC). The young regime had just embarked on its First Five-Year Plan, aimed at achieving rapid economic development and industrialization. The flood swept across several provinces, displaced populations, and submerged farmlands, posing both a new challenge and an opportunity for the regime to shape the socioeconomic landscape of the affected regions. This article uses a localized perspective to examine how the rural society of Hubei Province, the hardest-hit area, responded to the disaster. The central government’s self-help doctrine delegated much power to local governments and communities. Local officials and rural cadres had considerable leeway in managing the relief campaign as they simultaneously followed the state macroeconomic policy of rural collectivization. The 1954 flood in Hubei Province serves as a case study that illustrates the complexities of disaster management in the early years of the PRC.","[{""name"": ""Yue Liang"", ""affiliation"": []}]",[],"['Environmental Science', 'Medicine', 'Social Sciences']","['Complementary and alternative medicine', 'Health, Toxicology and Mutagenesis', 'Sociology and Political Science']","[[('0830 环境科学与工程', 0.8035), ('0807 动力工程及工程热物理', 0.7866), ('0713 生态学', 0.77), ('0903 农业资源与环境', 0.7684), ('0907 林学', 0.7684)], [('1002 临床医学', 0.7333), ('1007 药学', 0.7307), ('1001 基础医学', 0.7301), ('1008 中药学', 0.7257), ('1005 中医学', 0.7236)], [('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('1009 特种医学', 0.7239), ('1004 公共卫生与预防医学', 0.7184)], [('1004 公共卫生与预防医学', 0.7435), ('1001 基础医学', 0.7208)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)]]",,
10.1353/late.2024.a948074,LATE IMPERIAL CHINA,0603 World History; 0602 History of China,The New Year Tangse Ceremony and the Making of Qing Rule,"Abstract: This paper traces the development of the New Year Tange ceremony and demonstrates its pivotal role in establishing the early Qing rule and Qing emperorship. Contrary to the prevalent idea that the ceremony was a long-standing tradition, I argue that it was meticulously designed by Nurhaci to ensure a smooth succession after his passing. Thus, the ceremony was entangled with consolidating the polity and its rulership from its inception. The ceremony underwent several alterations as the Jurchen khanate evovled into the Qing empire and moved south. In the 1670s, the Kangxi emperor transformed Tangse into an exclusive imperial shrine for the banner elites, as the court sought to end threats from Han Chinese warlords, further signified the emergence of a new ruling discourse: the prerequisite to claim Manchuness rested on the privileged banner status. This policy institutionalized the conflation of Manchu identity with banner affiliation. The transformation of the New Year Tangse ceremony from a court ritual, to an imperial rite, then to a state rite, and to a Manchu rite underscores the instrumental religious symbolism that Qing rulers relied on in times of struggles.","[{""name"": ""Julia Manchu Wu"", ""affiliation"": []}]",[],['Social Sciences'],['Sociology and Political Science'],"[[('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)]]",,
10.1353/sys.2024.a946872,JOURNAL OF SONG-YUAN STUDIES,0603 World History; 0602 History of China; 0303 Sociology,The Assassination of Shidibala (r. 1320-1323) Reconsidered: Assumed Identities and Historiographical Erasures in Fourteenth-Century Yuan China,"Article Abstract: Has Shidibala been whitewashed by literati officials, court historians, and later scholars? Who was Tegshi, leader of the assassination plot? What was his relationship to the hated minister Temüder, to Shidibala's empress Sukebala, and to Shidibala's successor, Yisün-Temür? This article seeks to answer these questions in an attempt to show how the political agency of this Mongol qa'an has been framed or obscured in Yuan sources. Portrayals of his grandmother Dagi likewise exemplify how political agency asserted by women in ruling circles is typically decried as wasteful, inappropriate, or as an immoral interference in government. Yet its institutionalization in the Mongol-Yuan government, especially in the empress dowagers' office, demonstrates that the official and unofficial networks of royal women were important channels through which Mongolian imperial sovereignty was constructed and negotiated, increasingly in tension with the Daidu bureaucracy and a throne seeking to centralize power in its own hands.","[{""name"": ""Ruth W. Dunnell"", ""affiliation"": []}]",[],['Social Sciences'],['Sociology and Political Science'],"[[('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)]]",,
10.1353/tcc.2023.a905567,TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,THE PING-LIU-LI UPRISING OF 1906 UP CLOSE: ITS LOCAL CONTEXT AND ITS NATIONAL SIGNIFICANCE,"Abstract: The Ping-Liu-Li (Pingxiang, Liuyang, and Liling) uprising of 1906 is often said to have been led by revolutionaries, to have been supported by secret societies, and to have drawn support from two provinces (Hunan and Jiangxi) and three counties. This article argues that the events of the uprising have to be read in the light of disunified local gangs who had turf to protect, their interest in obtaining arms from the revolutionaries, and a very tense political situation that might indeed have evolved out of contact between revolutionaries and the gangs. However, the significance of the incident was magnified because of the proximity of the location to the high-profile Pingxiang Coal Mine in Jiangxi. The importance of the mine drew strong reactions from the court and the most senior provincial officials. In the process, guns, the telegraph, the railroad, and the newspapers all came into play in pushing the event to national prominence.","[{""name"": ""Xi He"", ""affiliation"": []}]",[],['Social Sciences'],"['Sociology and Political Science', 'Cultural Studies']","[[('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)], [('0502 外国语言文学', 0.7548), ('0501 中国语言文学', 0.7513)]]",,
10.1353/tcc.2023.a905565,TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,"THE MAKING OF ""EVIL TYRANT LANDLORDS"": A MICROHISTORY OF MORALIZED CLASS DIVISION DURING LAND REFORM IN BEIJING'S SUBURBS, 1949","Abstract: Class division represented arguably the most crucial stage of the land reform campaigns mounted by the Chinese Communist Party (CCP), as it not only divided the land but also the political power of rural Chinese society. Based on newly available local archives, this case study of class division during land reform in the suburbs of Beijing argues that the making of ""evil tyrant landlords""—and the struggle against them—played a decisive role in conceptualizing the ""landlord"" as both a figure of Marxist economic exploitation and the morally stigmatized rural elite during land reform and the building of the party-state. After the collapse of the existing rural ruling class, the ""struggle against tyrants"" movement immediately turned toward enacting formal class division. As a consequence, the discourse of class struggle based on a clear-cut landlord-peasantry dichotomy was, unsurprisingly, allowed by the CCP to infiltrate rural China's post-1949 political culture.","[{""name"": ""Shaofan An"", ""affiliation"": []}]",[],['Social Sciences'],"['Political Science and International Relations', 'Sociology and Political Science']","[[('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0302 政治学', 0.7764), ('1204 公共管理学', 0.7587)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)]]",,
10.1353/sys.2023.a917265,JOURNAL OF SONG-YUAN STUDIES,0603 World History; 0602 History of China; 0303 Sociology,"THE DISTANT READING OF ""CONVERSATIONS"": DIALOGUE NETWORK ANALYSIS ON THE NORTHERN SONG ANECDOTE COLLECTION 'TANG YULIN'","Abstract: This study adapts the social network model to build structured representations of conversational interactions in the Tang yulin . In these dialogue networks, nodes represent interlocutors, and edges between nodes indicate the frequency and the direction of words from speakers to listeners. Algorithms calculate a series of statistical measurements that gauge the local and global importance of each node. The study highlights an influential, global “Xuánzong factor” across the dialogue network, and argues that Empress Wu Zetian is depicted as a more passive figure, more of a listener than a speaker, when compared with the male rulers of the Tang.","[{""name"": ""Amelia Ying Qin"", ""affiliation"": []}]",[],"['Physics and Astronomy', 'Social Sciences']","['Statistical and Nonlinear Physics', 'Sociology and Political Science']","[[('0704 天文学', 0.7308), ('0702 物理学', 0.7214), ('0708 地球物理学', 0.7121), ('1404 遥感科学与技术', 0.7093), ('0706 大气科学', 0.7071)], [('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0809 电子科学与技术', 0.7443), ('0801 力学', 0.7421)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)]]",,
10.1353/tcc.2024.a917212,TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,"Solving the ""Religious Problem"": The Great Leap Forward of ""Religious Work"" and Protestant Communities in Pingyang, Wenzhou in 1958","Abstract: Chinese Christians have long held that the central government sought to eliminate religion in the Wenzhou region of Zhejiang Province in 1958 and even attempted to promote the Wenzhou experience nationally. Yet, to this day, details of the plight that religious communities endured in Wenzhou during the Great Leap Forward remain obscure. This article examines the origins, development, and after-math of the local campaign to solve the ""religious problem"" in Wenzhou in 1958, focusing on the experience of Protestant communities in Pingyang County. I argue that the antireligious movement in Wenzhou during the Great Leap Forward was not a central initiative. Instead, what happened was that local state agents seized the opportunity offered by the Great Leap Forward to crush religious communities, especially Christian communities, with which they had long had tensions. The result was an antireligious movement that went far beyond what the central government had originally envisioned.","[{""name"": ""Xiaoxuan Wang"", ""affiliation"": []}]",[],['Social Sciences'],"['Sociology and Political Science', 'Geography, Planning and Development']","[[('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)], [('0833 城乡规划学', 0.7657), ('0705 地理学', 0.7617)]]",,
